gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044031	10.04231898	-1.438086429	0.511487667	-2.811575962	0.004929945	0.011486985
C3044117	1539.630919	-0.34224792	0.143136872	-2.391053512	0.016800104	0.034396601
C3044197	1.645436652	-4.120758467	1.466245146	-2.81041576	0.004947754	0.011520692
C3044227	44.97324871	-1.706369988	0.313088149	-5.45012641	5.03E-08	2.33E-07
C3044241	1426.565763	0.806926794	0.119307088	6.763443871	1.35E-11	8.76E-11
C3044289	767.1594356	-1.338077735	0.107064506	-12.49786488	7.67E-36	2.13E-34
C3044305	405.5001929	2.486937721	0.423321789	5.874816245	4.23E-09	2.18E-08
C3044331	21.02267255	1.348733077	0.434957807	3.100836576	0.001929748	0.004874006
C3044363	11.95110916	-1.20962667	0.490300355	-2.467113591	0.013620714	0.028576305
C3044407	219.611104	1.746348755	0.149853161	11.65373317	2.20E-31	4.74E-30
C3044439	62.84211269	-2.043657899	0.244021771	-8.374899873	5.53E-17	5.40E-16
C3044529	89.24663047	-2.83653544	0.240965596	-11.77153702	5.47E-32	1.22E-30
C3044535	95.50387772	0.797972579	0.249926436	3.192829833	0.001408859	0.003651508
C3044563	5.20108931	1.755241358	0.773740008	2.268515703	0.023297793	0.046121869
C3044619	327.6221383	-0.346340492	0.139738893	-2.478483156	0.013194234	0.027789811
C3044687	56.19081479	3.593049189	0.327887408	10.95817985	6.07E-28	1.13E-26
C3044719	8.708169382	-3.321504923	0.765655327	-4.338120308	1.44E-05	5.01E-05
C3044761	72.33020952	-0.850086199	0.24821265	-3.424830271	0.000615184	0.001688668
C3044791	130.6945067	-0.699871656	0.162096758	-4.317616628	1.58E-05	5.47E-05
C3044803	7.938394993	-1.925631871	0.638715364	-3.014851339	0.002571052	0.006330468
C3044861	33.45190783	-1.228626206	0.292048947	-4.206918797	2.59E-05	8.73E-05
C3044921	53.05075774	-1.468041511	0.288865349	-5.082096255	3.73E-07	1.57E-06
C3044941	11.94480992	1.507396091	0.480791371	3.135239484	0.001717139	0.004376786
C3045059	2119.254135	1.511049256	0.139741425	10.81318054	2.98E-27	5.36E-26
C3045121	59.03409451	0.721027192	0.23628504	3.051514354	0.002276902	0.005662027
C3045123	96.21043328	2.008250902	0.286732611	7.003915243	2.49E-12	1.73E-11
C3045317	421.8116396	0.45195732	0.109564585	4.125031111	3.71E-05	0.000122025
C3045345	48.15631458	-0.657250377	0.248452636	-2.645374935	0.008160045	0.018070168
C3045349	321.7626236	0.33602144	0.134444361	2.499334565	0.012442678	0.026364769
C3045435	55.18563785	-1.263381682	0.245896372	-5.13786223	2.78E-07	1.18E-06
C3045563	642.1455828	-0.394724694	0.149043371	-2.648388126	0.008087661	0.017926002
C3045579	144.1223079	-2.002984037	0.232159289	-8.62762822	6.26E-18	6.54E-17
C3045583	128.9509229	-1.250417664	0.188287346	-6.641007417	3.12E-11	1.95E-10
C3045593	69.02657816	1.324328295	0.238809193	5.545549893	2.93E-08	1.39E-07
C3045609	19.96982942	1.347772209	0.422048966	3.193402465	0.001406068	0.003646471
C3045651	2188.6137	-0.604233199	0.117501121	-5.142361144	2.71E-07	1.16E-06
C3045665	248.7475815	0.75325949	0.152617624	4.935599653	7.99E-07	3.24E-06
C3045671	252.6820973	0.765157047	0.139538414	5.483486775	4.17E-08	1.95E-07
C3045677	161.0727801	-1.211922338	0.179023318	-6.76963398	1.29E-11	8.41E-11
C3045685	219.5948942	0.500094022	0.130924133	3.819723773	0.000133601	0.000405557
