gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044021	1.884243679	3.414459439	1.401321305	2.436599962	0.014826071	0.034651583
C3044197	2.846390105	-3.498747557	1.33712857	-2.61661267	0.008880705	0.022251802
C3044227	49.4493154	-1.245069469	0.290650852	-4.283728944	1.84E-05	8.23E-05
C3044289	981.1854269	-1.296250157	0.146605985	-8.84172742	9.42E-19	1.85E-17
C3044305	290.7070409	2.246659019	0.264792168	8.484612814	2.16E-17	3.84E-16
C3044331	17.36228109	1.307324104	0.429864468	3.041247186	0.002356003	0.006849921
C3044407	196.632474	0.91206744	0.195775929	4.65873126	3.18E-06	1.62E-05
C3044439	80.28865277	-1.642891728	0.347706336	-4.724940445	2.30E-06	1.19E-05
C3044463	10.05389975	-1.612455683	0.56566984	-2.850524405	0.00436472	0.011872994
C3044529	116.6108899	-1.955530584	0.273027857	-7.162384831	7.93E-13	9.13E-12
C3044561	6944.935071	-0.392986174	0.134616814	-2.919294871	0.003508242	0.009761613
C3044687	31.43829972	2.791434727	0.411612525	6.781705015	1.19E-11	1.21E-10
C3044719	10.51525979	-3.011435644	0.669891423	-4.495408573	6.94E-06	3.32E-05
C3044761	101.2709775	-1.11569066	0.221741913	-5.03148297	4.87E-07	2.78E-06
C3044791	140.5120651	-0.947958993	0.179203731	-5.289839595	1.22E-07	7.60E-07
C3044803	16.86888397	-2.043070543	0.473317746	-4.316488362	1.59E-05	7.19E-05
C3044921	54.63192862	-0.6597439	0.236764082	-2.786503318	0.005328007	0.01417614
C3044941	12.31228193	1.608085794	0.48504896	3.315306137	0.000915428	0.002919212
C3045059	3423.128472	2.200419741	0.170121361	12.93441178	2.88E-38	2.34E-36
C3045123	59.57549154	1.695023464	0.29178532	5.809145795	6.28E-09	4.63E-08
C3045213	9.103753536	1.558077177	0.585435402	2.661398972	0.007781669	0.019818333
C3045299	30.0869752	-0.774887318	0.334008622	-2.319962022	0.020342932	0.045518388
C3045317	469.177229	0.660955279	0.136494674	4.84235217	1.28E-06	6.92E-06
C3045345	69.46159764	-0.727712721	0.228737533	-3.181431191	0.001465493	0.004466794
C3045435	66.44545	-0.985054462	0.22016807	-4.474102277	7.67E-06	3.65E-05
C3045579	492.2272896	-1.308225964	0.268185017	-4.87807253	1.07E-06	5.85E-06
C3045583	161.6309185	-1.37221154	0.1908176	-7.191221026	6.42E-13	7.48E-12
