gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3044305	2755.055238	-0.707809864	0.217893179	-3.248425977	0.001160454	0.04910041
C3044935	607.5955458	0.823684741	0.190294235	4.32847974	1.50E-05	0.002877952
C3045721	649.6871973	1.431224014	0.290662966	4.923998517	8.48E-07	0.000297978
C3046259	1651.416443	1.417445742	0.185962302	7.622220865	2.49E-14	1.05E-10
C3046719	80.91868022	1.798069911	0.383782184	4.685131267	2.80E-06	0.000761184
C3058963	41.04308016	-1.567037381	0.465113656	-3.369149372	0.000754006	0.038541108
C3061255	2341.860584	0.743076151	0.214042793	3.471624246	0.00051732	0.029652164
C3061377	453.9654687	-0.753334323	0.224705867	-3.35253518	0.000800751	0.039961721
C3062779	30.53154723	1.886862835	0.556097024	3.393046093	0.0006912	0.036896084
C3065169	459.3928371	0.989969333	0.239400936	4.135194085	3.55E-05	0.005062622
C3067168	284.2330451	-1.065632829	0.212152324	-5.022960907	5.09E-07	0.000195059
C3073428	117.6330664	1.060339484	0.325126736	3.261311256	0.001108982	0.04821215
C3075480	921.7429448	0.824331351	0.229716169	3.588477701	0.000332614	0.022223115
C3079920	228.8697042	-1.17475021	0.273840366	-4.289908853	1.79E-05	0.003207548
C3085836	57.72322901	2.131041829	0.337770946	6.30913303	2.81E-10	5.92E-07
C3086924	55.75316226	1.139445155	0.316188092	3.603694079	0.000313726	0.021975308
C3086984	242.6997739	2.416177135	0.464010936	5.207155585	1.92E-07	0.00010108
C3089564	83.08058237	1.357922571	0.320033256	4.243067068	2.20E-05	0.00371915
C3089654	832.9140605	0.837514994	0.208081157	4.024943955	5.70E-05	0.007394527
C3090882	961.7420064	0.738061442	0.210071986	3.51337395	0.000442454	0.026846471
C3091897	2337.277776	1.527986613	0.39073353	3.910559229	9.21E-05	0.010355004
C3092285	1229.684772	1.09673639	0.328508252	3.338535287	0.000842213	0.041297832
C3094391	142.867166	-1.762913198	0.397133117	-4.439098937	9.03E-06	0.00200499
