Treatment	Temperature	Label	PAM	Replicate
H0	30	H0_T2_30_R1	0.51	1
H0	30	H0_T2_30_R2	0.54	2
H0	30	H0_T2_30_R3	0.6	3
H0	33	H0_T2_33_R1	0.58	1
H0	33	H0_T2_33_R2	0.57	2
H0	33	H0_T2_33_R3	0.62	3
H0	36	H0_T2_36_R1	0.32	1
H0	36	H0_T2_36_R2	0.33	2
H0	36	H0_T2_36_R3	0.22	3
H0	39	H0_T2_39_R1	0.04	1
H0	39	H0_T2_39_R2	0.06	2
H0	39	H0_T2_39_R3	0.04	3
HH	30	HH_T2_30_R1	0.55	1
HH	30	HH_T2_30_R2	0.57	2
HH	30	HH_T2_30_R3	0.56	3
HH	33	HH_T2_33_R1	0.54	1
HH	33	HH_T2_33_R2	0.55	2
HH	33	HH_T2_33_R3	0.54	3
HH	36	HH_T2_36_R1	0.3	1
HH	36	HH_T2_36_R2	0.18	2
HH	36	HH_T2_36_R3	0.23	3
HH	39	HH_T2_39_R1	0.04	1
HH	39	HH_T2_39_R2	0.02	2
HH	39	HH_T2_39_R3	0.03	3
