Treatment	Temperature	Label	BIS	Replicate	SE
H0	30	H0-30-T1-R1	6	R1	0
H0	33	H0-33-T1-R1	6	R1	0
H0	36	H0-36-T1-R1	4.1	R1	0.37
H0	39	H0-39-T1-R1	1.9	R1	0.11
H0	30	H0-30-T1-R2	6	R2	0
H0	33	H0-33-T1-R2	6	R2	0
H0	36	H0-36-T1-R2	3.5	R2	0.2
H0	39	H0-39-T1-R2	1	R2	0
H0	30	H0-30-T1-R3	6	R3	0
H0	33	H0-33-T1-R3	6	R3	0
H0	36	H0-36-T1-R3	3.9	R3	0.09
H0	39	H0-39-T1-R3	1.8	R3	0.22
H0	30	H0-30-T1-R4	6	R4	0
H0	33	H0-33-T1-R4	6	R4	0
H0	36	H0-36-T1-R4	4.2	R4	0.18
H0	39	H0-39-T1-R4	2	R4	0.35
Hd	30	Hd-30-T1-R1	6	R1	0
Hd	33	Hd-33-T1-R1	6	R1	0
Hd	36	Hd-36-T1-R1	3.1	R1	0.27
Hd	39	Hd-39-T1-R1	1	R1	0
Hd	30	Hd-30-T1-R2	6	R2	0
Hd	33	Hd-33-T1-R2	6	R2	0
Hd	36	Hd-36-T1-R2	3.9	R2	0.45
Hd	39	Hd-39-T1-R2	1.4	R2	0.22
Hd	30	Hd-30-T1-R3	6	R3	0
Hd	33	Hd-33-T1-R3	6	R3	0
Hd	36	Hd-36-T1-R3	2.9	R3	0.11
Hd	39	Hd-39-T1-R3	1	R3	0
Hd	30	Hd-30-T1-R4	6	R4	0
Hd	33	Hd-33-T1-R4	6	R4	0
Hd	36	Hd-36-T1-R4	1	R4	0
Hd	39	Hd-39-T1-R4	1.5	R4	0.25
